@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: MF136 :"/home/mwp8699/CE387-Assignments/final_project/sv/fir_cmplx.sv":48:0:48:8|Unknown RAM style no_rw_check
@W: FA365 :"/home/mwp8699/CE387-Assignments/final_project/sv/fir_cmplx.sv":48:0:48:8|Ram fir_cmplx_inst.imagshift_reg_CR31[31:0] will be mapped into logic and will consume around 1024 register resources.
@W: MF136 :"/home/mwp8699/CE387-Assignments/final_project/sv/fir_cmplx.sv":48:0:48:8|Unknown RAM style no_rw_check
@W: FA365 :"/home/mwp8699/CE387-Assignments/final_project/sv/fir_cmplx.sv":48:0:48:8|Ram fir_cmplx_inst.realshift_reg_CR31[31:0] will be mapped into logic and will consume around 1024 register resources.
@W: BN132 :"/home/mwp8699/CE387-Assignments/final_project/sv/globals.sv":113:27:113:44|Removing sequential instance G_1152 because it is equivalent to instance G_1137. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/mwp8699/CE387-Assignments/final_project/sv/globals.sv":113:27:113:44|Removing sequential instance G_1137 because it is equivalent to instance G_1121. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/mwp8699/CE387-Assignments/final_project/sv/globals.sv":113:27:113:44|Removing sequential instance G_1121 because it is equivalent to instance G_1106. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/mwp8699/CE387-Assignments/final_project/sv/globals.sv":113:27:113:44|Removing sequential instance G_1106 because it is equivalent to instance G_1089. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: MT246 :"/home/mwp8699/CE387-Assignments/final_project/sv/fm_radio.sv":637:8:637:15|Blackbox sub is missing a user supplied timing model. This may have a negative effect on timing analysis and optimizations (Quality of Results)
@W: MT246 :"/home/mwp8699/CE387-Assignments/final_project/sv/fm_radio.sv":598:8:598:15|Blackbox add is missing a user supplied timing model. This may have a negative effect on timing analysis and optimizations (Quality of Results)
@W: MT420 |Found inferred clock fm_radio|clock with period 22.72ns. Please declare a user-defined clock on port clock.
